,ID,group,cond,Persona,pre_quiz,post_quiz,3a,3b,3c,3d,e1,e2,e3,e4,e5,e7,e8,e9,e10
0,1,11,D,Fairness Advocate,0.5,0.875,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,2.0,3.0,2.0,6.0,7.0
1,2,11,D,Defendent,0.5166666665,1.0,6.0,6.0,6.0,6.0,6.0,3.0,5.0,5.0,3.0,6.0,6.0,4.0,7.0
2,3,10,C,Community Member,0.500000000166667,1.0,6.0,6.0,6.0,6.0,7.0,3.0,5.0,6.0,4.0,7.0,7.0,4.0,7.0
3,4,9,C,Judge,0.833333333333333,0.875,7.0,6.0,6.0,7.0,6.0,3.0,6.0,6.0,4.0,7.0,6.0,7.0,7.0
4,5,8,C,Fairness Advocate,0.6666666665,0.8125,5.0,5.0,6.0,6.0,5.0,3.0,5.0,5.0,4.0,7.0,5.0,6.0,6.0
5,6,13,D,Community Member,0.833333333333334,1.0,,,,,,,,,,,,,
6,7,9,C,Defendent,0.749999999833333,0.8125,5.0,5.0,5.0,5.0,6.0,3.0,5.0,6.0,3.0,6.0,7.0,7.0,6.0
7,8,7,C,Defendent,0.958333333166667,1.0,1.0,7.0,1.0,7.0,7.0,3.0,6.0,5.0,4.0,6.0,4.0,6.0,7.0
8,9,4,B,,0.9166666665,0.875,5.0,6.0,4.0,2.0,5.0,3.0,2.0,3.0,5.0,2.0,1.0,5.0,6.0
9,10,7,C,Fairness Advocate,0.583333333333333,1.0,6.0,6.0,6.0,6.0,7.0,3.0,4.0,7.0,3.0,5.0,4.0,3.0,7.0
10,11,5,B,,0.625,0.6875,3.0,6.0,4.0,6.0,5.0,3.0,5.0,6.0,3.0,5.0,6.0,7.0,7.0
11,12,6,B,,0.999999999833333,0.6875,5.0,2.0,5.0,6.0,6.0,3.0,6.0,6.0,2.0,6.0,4.0,5.0,5.0
12,13,5,B,,0.6666666665,0.9375,5.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,2.0,5.0,2.0,5.0,6.0
13,14,2,A,,0.5416666665,0.75,6.0,5.0,6.0,7.0,5.0,3.0,5.0,5.0,1.0,4.0,5.0,6.0,7.0
14,15,11,D,Judge,0.5833333333333339,0.79125,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0
15,16,8,C,Defendent,0.833333333333333,0.8125,6.0,7.0,6.0,6.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0
16,17,3,A,,0.833333333333333,1.0,7.0,7.0,7.0,7.0,7.0,3.0,4.0,5.0,2.0,6.0,6.0,3.0,6.0
17,18,4,B,,0.416666666666667,0.625,5.0,6.0,5.0,3.0,6.0,1.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0
18,19,2,A,,1.0,0.8125,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,5.0,5.0,5.0,7.0,7.0
19,20,12,D,Judge,0.666666666666667,1.0,7.0,7.0,7.0,7.0,6.0,3.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0
20,21,10,C,Defendent,0.833333333333334,1.0,6.0,7.0,5.0,6.0,5.0,3.0,3.0,6.0,5.0,7.0,5.0,7.0,6.0
21,22,5,B,,0.7916666665000001,0.9375,4.0,4.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
22,23,13,D,Judge,0.5166666665,0.625,7.0,7.0,7.0,7.0,7.0,3.0,6.0,5.0,2.0,7.0,7.0,7.0,7.0
23,24,9,C,Community Member,0.791666666833333,0.75,6.0,6.0,7.0,6.0,5.0,3.0,7.0,7.0,2.0,6.0,4.0,4.0,7.0
24,25,11,D,Community Member,0.633333333333333,0.8125,7.0,7.0,7.0,5.0,5.0,3.0,7.0,7.0,4.0,7.0,6.0,4.0,7.0
25,26,7,C,Community Member,0.5833333335,0.7083333333333341,5.0,5.0,6.0,6.0,5.0,3.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0
26,27,1,A,,0.75,1.0,5.0,4.0,6.0,6.0,5.0,3.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0
27,28,4,B,,0.249999999833333,1.0,4.0,5.0,6.0,6.0,6.0,3.0,4.0,4.0,3.0,6.0,6.0,7.0,5.0
28,29,9,C,Fairness Advocate,0.666666666666667,0.875,6.0,6.0,7.0,5.0,6.0,3.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0
29,30,1,A,,0.5416666665,0.875,5.0,3.0,6.0,4.0,3.0,3.0,5.0,6.0,5.0,6.0,5.0,6.0,3.0
30,31,8,C,Community Member,0.791666666666667,0.875,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,3.0,7.0,5.0,7.0,7.0
31,32,13,D,Fairness Advocate,0.666666666666666,1.0,5.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0
32,33,8,C,Judge,0.75,0.75,7.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0
33,34,13,D,Defendent,0.999999999833333,1.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0
34,35,1,A,,0.708333333333333,0.4583333333333329,,,,,,,,,,,,,
35,36,3,A,,0.291666666833333,0.875,6.0,7.0,6.0,7.0,7.0,3.0,6.0,5.0,4.0,6.0,7.0,7.0,7.0
36,37,10,C,Fairness Advocate,0.375,1.0,4.0,5.0,4.0,7.0,7.0,3.0,4.0,4.0,5.0,6.0,6.0,4.0,7.0
37,38,12,D,Community Member,0.8333333334999999,0.6875,,,,,,,,,,,,,
38,39,5,B,,0.5,0.7083333333333341,3.0,7.0,5.0,3.0,7.0,3.0,6.0,6.0,3.0,7.0,7.0,7.0,7.0
39,40,4,B,,0.833333333333334,0.875,6.0,6.0,7.0,2.0,7.0,3.0,4.0,2.0,5.0,3.0,3.0,6.0,6.0
40,41,3,A,,0.708333333333333,0.4375,5.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,1.0,7.0,7.0,5.0,7.0
41,42,6,B,,0.458333333333333,0.875,5.0,6.0,6.0,6.0,6.0,3.0,4.0,6.0,4.0,6.0,5.0,5.0,6.0
42,43,7,C,Judge,0.75,0.875,,,,,,,,,,,,,
43,44,2,A,,0.75,0.875,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,4.0,6.0,6.0,5.0,7.0
44,45,2,A,,0.5416666665,0.625,4.0,3.0,3.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0
45,46,12,D,Fairness Advocate,0.6666666665,0.75,4.0,4.0,4.0,6.0,5.0,6.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0
46,47,10,C,Judge,0.375,0.64625,6.0,6.0,6.0,6.0,7.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,6.0
47,48,12,D,Defendent,0.833333333166667,0.8125,5.0,5.0,5.0,6.0,6.0,3.0,7.0,7.0,4.0,5.0,6.0,4.0,6.0
48,49,15,D,Fairness Advocate,0.6666666665,1.0,7.0,7.0,7.0,7.0,7.0,3.0,6.0,7.0,5.0,7.0,6.0,7.0,7.0
49,50,15,D,Judge,0.75,0.875,7.0,6.0,5.0,7.0,7.0,6.0,7.0,7.0,5.0,5.0,5.0,7.0,7.0
50,51,15,D,Community Member,0.633333333166667,1.0,5.0,5.0,5.0,5.0,7.0,3.0,5.0,6.0,4.0,5.0,5.0,6.0,7.0
